"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          71,      -5.763691806,      -3.307902877,      -3.904307903,      -1.586617034,      -2.218782457,       1.754390515
          0,           0,          72,      -5.763785137,      -3.313680502,      -3.902971831,      -1.585260533,      -2.228239712,       1.743559436
          0,           0,          73,      -5.763813803,      -3.319314677,      -3.901612128,      -1.583577759,      -2.237587141,        1.73285302
          0,           0,          74,      -5.763781783,      -3.324806496,      -3.900222372,        -1.5815102,      -2.246827281,       1.722271452
          0,           0,          75,      -5.763697096,      -3.330156901,      -3.898795058,      -1.579115687,      -2.255962577,        1.71181511
          0,           0,          76,      -5.763569053,      -3.335366608,      -3.897331177,       -1.57647855,      -2.264995394,       1.701483912
          0,           0,          77,      -5.763403486,      -3.340438605,      -3.895834895,      -1.574467169,      -2.273928017,       1.691278066
          0,           0,          78,      -5.763196739,      -3.345376647,      -3.894337448,      -1.571966263,      -2.282762654,       1.681196228
          0,           0,          79,      -5.762940125,      -3.350249751,      -3.892830865,      -1.570100543,      -2.291501439,       1.671237232
          0,           0,          80,       -5.76261577,      -3.355099223,      -3.891334357,       -1.57206314,       -2.30014644,       1.661400335
          0,           0,          81,       -5.76220299,      -3.359832866,      -3.889958281,      -1.570963964,      -2.308699656,       1.651689539
          0,           0,          82,      -5.761701736,      -3.364456962,      -3.888531441,      -1.570881819,      -2.317163022,       1.642100606
          0,           0,          83,      -5.761127248,      -3.368975675,      -3.887109614,      -1.571910614,      -2.325538415,       1.632627751
          0,           0,          84,      -5.760503992,      -3.373381457,      -3.885721519,      -1.571228406,      -2.333827649,       1.623273355
          0,           0,          85,      -5.759847583,      -3.377675573,      -3.884292374,      -1.570016829,      -2.342032484,       1.614044674
          0,           0,          86,      -5.759168082,      -3.381860754,      -3.882836062,      -1.568432629,      -2.350154628,       1.604941149
          0,           0,          87,      -5.758469661,      -3.385941175,      -3.881357302,      -1.566512102,      -2.358195735,       1.595958099
          0,           0,          88,      -5.757746039,      -3.389920612,      -3.879856122,       -1.56401053,      -2.366157413,       1.587087042
          0,           0,          89,      -5.756986708,      -3.393799725,      -3.878330342,      -1.561556479,      -2.374041219,       1.578322038
          0,           0,          90,      -5.756189329,      -3.397580794,      -3.876783609,      -1.559370056,      -2.381848665,       1.569660853
          0,           0,          91,      -5.755358956,      -3.401266134,      -3.875226197,      -1.557312323,       -2.38958122,       1.561102448
          0,           0,          92,      -5.754501867,      -3.404858072,      -3.873669647,      -1.555258868,      -2.397240312,       1.552645191
          0,           0,          93,      -5.753622909,      -3.408359884,      -3.872115168,      -1.553342972,      -2.404827325,       1.544286577
          0,           0,          94,      -5.752725328,      -3.411775474,      -3.870566383,       -1.55075328,      -2.412343607,       1.536025788
          0,           0,          95,       -5.75180588,        -3.4151026,      -3.869016163,      -1.548334401,      -2.419790467,       1.527862121
          0,           0,          96,      -5.750868221,        -3.4183449,      -3.867466433,      -1.546205862,      -2.427169178,       1.519789805
          0,           0,          97,      -5.749916979,      -3.421504016,      -3.865921713,      -1.544091318,      -2.434480979,       1.511809294
          0,           0,          98,      -5.748956262,      -3.424584072,      -3.864382868,      -1.541517912,      -2.441727073,       1.503919138
          0,           0,          99,      -5.747982763,      -3.427587037,      -3.862844408,      -1.538800815,      -2.448908634,       1.496117505
          0,           0,         100,      -5.746996028,       -3.43056303,      -3.861308301,      -1.536008229,      -2.456026802,        1.48840316
          0,           0,         101,      -5.745994441,      -3.433539037,      -3.859776996,      -1.531599077,      -2.463082688,       1.480772848
          0,           0,         102,      -5.744953792,       -3.43640221,      -3.858226904,      -1.526830899,      -2.470077373,        1.47322766
          0,           0,         103,      -5.743874465,      -3.439144194,       -3.85666872,      -1.523640277,      -2.477011912,       1.465764726
          0,           0,         104,      -5.742774208,      -3.441781454,      -3.855146698,      -1.521014448,      -2.483887332,       1.458375779
          0,           0,         105,      -5.741668161,      -3.444312481,      -3.853654481,      -1.519250675,      -2.490704634,       1.451059496
          0,           0,         106,      -5.740573928,      -3.446747089,      -3.852191809,      -1.518230349,      -2.497464794,       1.443820718
          0,           0,         107,       -5.73950423,      -3.449096116,      -3.850765711,      -1.517428007,       -2.50416876,        1.43666001
          0,           0,         108,      -5.738463335,      -3.451368804,      -3.849365374,      -1.516334745,      -2.510817462,       1.429572964
          0,           0,         109,       -5.73744625,      -3.453572619,       -3.84797619,       -1.51486416,      -2.517411802,       1.422554012
          0,           0,         110,      -5.736444196,      -3.455713367,      -3.846590847,      -1.513215931,      -2.523952662,       1.415597854
          0,           0,         111,      -5.735452001,      -3.457795789,      -3.845210279,      -1.511446606,      -2.530440903,       1.408701691
          0,           0,         112,      -5.734468249,      -3.459823494,      -3.843837714,      -1.509771595,      -2.536877365,       1.401863212
          0,           0,         113,       -5.73349465,       -3.46180002,      -3.842480636,      -1.507912415,      -2.543262867,        1.39508444
          0,           0,         114,      -5.732532855,      -3.463728318,      -3.841138461,      -1.505964145,      -2.549598209,       1.388363963
          0,           0,         115,      -5.731583528,      -3.465611029,      -3.839812366,      -1.504097604,      -2.555884173,       1.381703564
          0,           0,         116,      -5.730648451,      -3.467451267,      -3.838506036,      -1.502094086,      -2.562121522,       1.375100127
          0,           0,         117,      -5.729728576,      -3.469246213,      -3.837216888,      -1.500521783,      -2.568311001,       1.368554661
          0,           0,         118,       -5.72882745,       -3.47098281,      -3.835953826,      -1.499889259,      -2.574453339,       1.362065344
          0,           0,         119,       -5.72795471,      -3.472671428,      -3.834730612,      -1.498772018,      -2.580549246,       1.355633685
          0,           0,         120,       -5.72710835,      -3.474321556,      -3.833522529,      -1.497639854,      -2.586599419,       1.349258011
          0,           0,         121,      -5.726277627,      -3.475936622,      -3.832327136,       -1.49675324,      -2.592604538,       1.342936133
          0,           0,         122,      -5.725456797,      -3.477521934,      -3.831153735,      -1.495535609,      -2.598565266,       1.336665777
          0,           0,         123,      -5.724640648,      -3.479080155,      -3.829992495,      -1.494187599,      -2.604482255,        1.33044872
          0,           0,         124,      -5.723823221,      -3.480612534,      -3.828842344,      -1.492795906,      -2.610356139,        1.32428118
          0,           0,         125,      -5.723004399,      -3.482119734,       -3.82770523,      -1.491402041,      -2.616187541,       1.318159057
          0,           0,         126,      -5.722188901,      -3.483601807,      -3.826583174,      -1.490028021,      -2.621977069,       1.312080868
          0,           0,         127,      -5.721381833,      -3.485059086,      -3.825479414,      -1.488688131,      -2.627725318,       1.306048217
          0,           0,         128,      -5.720586619,      -3.486491695,      -3.824395464,      -1.487351685,       -2.63343287,        1.30006307
          0,           0,         129,      -5.719804854,      -3.487901378,      -3.823330708,      -1.485942194,      -2.639100296,       1.294124969
          0,           0,         130,      -5.719037723,      -3.489289429,      -3.822283586,      -1.484595601,      -2.644728154,       1.288232492
          0,           0,         131,      -5.718285477,      -3.490656985,      -3.821253815,      -1.483302242,       -2.65031699,       1.282386428
          0,           0,         132,       -5.71754839,      -3.492005251,      -3.820240966,      -1.482036758,      -2.655867339,       1.276585801
          0,           0,         133,      -5.716827056,      -3.493335356,      -3.819244265,      -1.480790112,      -2.661379725,       1.270829061
